ACC1701X,Accounting for Decision Makers
ACC2706,Managerial Accounting
AR2102,Design 4
AR2221,History and Theory of Southeas
AR2222,Hist & Theory Of Western Archi
AR2226,Hist & Theory Of Modern Archi
AR2327,Architectural Tectonics
AR2723,Strat for Sustainable Archi
AR3101,Design 5
AR3421,Introduction to Architectural
AR3721,Building Environmental System
AR4101,Design 7
AR4103,Architectural & Tech Design 1
AR4322,Design Simulation & Analysis
AR5011,Research Methodology
AR5221,CONTEMPORARY THEORIES
AR5321,Advanced Architectural Integra
AX1811,Department exchange module
AX2701,Special Exchange Module
BSE3701,Macroeconomic Principles in th
BSE3703,Econometrics for Business I
BSN3701,Technological Innovation
BSN3702,New Venture Creation
BSN3703,Entrepreneurial Strategy
BSN3761X,Topics in Innovation & Entrepr
BSP1702,Legal Environment of Business
BSP1702X,Legal Environment of Business
BSP1703,Managerial Economics
BSP1703X,Managerial Economics
BSP2701,Global Economy
BSP3701,Strategic Management
BT1101,Introduction to Business Analy
BT2101,Econometrics Modeling for Busi
BT2102,Data Management and Visualisat
BT3102,Computational Methods for Busi
BT3103,Application Systems Developmen
BT4012,Fraud Analytics
BT4013,Analytics for Capital Market T
BT4014,Analytics Driven Design of Ada
BT4015,Geospatial Analytics
BT4016,Risk Analytics for Financial S
BT4211,Data-Driven Marketing
BT4212,Search Engine Optimization & A
BT4221,Big Data Techniques & Technolo
BT4222,Mining Web Data for Business I
BT4240,Machine Learning for Predictiv
BXT3041,Business Exchange Topic
CG2271,Real-Time Operating Systems
CM1111,Inorganic Chemistry 1
CM1121,Organic Chemistry 1
CM1131,Physical Chemistry 1
CM1401,Chemistry for Life Sciences
CM1417,Fundamentals of Chemistry
CM1991,Exchange Enrichment Level 1000
CM2101,Physical Chemistry 2
CM2121,Organic Chemistry 2
CM2991,Exchange Enrichment Module
CM3201,Principles of Chemical Process
CM3212,Transition Metal Chemistry
CM3221,Organic Synthesis: The Disconn
CM3222,Organic Reaction Mechanisms
CM3225,Biomolecules
CM3231,Quant Chem&Molecular Thermodyn
CM3242,Instrumental Analysis II
CM3251,Nanochemistry
CM3252,Polymer Chemistry 1
CM3253,Materials Chemistry 1
CM3261,Environmental Chemistry
CM3296,Molecular Modelg:Theory & Prac
CM3301,
CM3991,Exchange Enrichment Module
CM4211,Adv Coordination Chemistry
CM4212,Adv Organometallic Chemistry
CM4214,Structural Mtds in Inorg Chem
CM4225,Organic Spectroscopy
CM4227,Chemical Biology
CM4228,Catalysis
CM4238,Selected Topics in Physical Ch
CM4241,Trace Analysis
CM4242,Advanced Analytical Techniques
CM4269,Sustainable & Green Chemistry
CM4271,MEDICINAL CHEMISTRY
CM4274,The Art and Methodology in T.S
CM4282,Energy Resources
CM4991,Exchange Enrichment Module
COS2000,Computational Thinking for Sci
CS1010,Programming Methodology
CS1010E,Programming Methodology
CS1010J,Programming Methodology
CS1010S,Programming Methodology
CS1231,Discrete Structures
CS2010,Data Structures & AlgorithmsII
CS2030,Programming Methodology II
CS2040,Data Structures and Algorithms
CS2040C,Data Structures and Algorithms
CS2100,Computer Organisation
CS2102,Database Systems
CS2103,Software Engineering
CS2104,Programming Language Concepts
CS2105,Intro to Computer Networks
CS2106,Intro to Operating Systems
CS2107,Introduction to Information Security
CS2108,Introduction to Media Computin
CS2113,Software Engineering & Object-
CS2220,Intro to Computational Biology
CS2309,CS Research Methodology
CS3103,Computer Networks Practice
CS3210,Parallel Computing
CS3211,Parallel & Concurrent Programg
CS3216,Software Product Engineering
CS3217,SW Engg on Modern Appln Platfm
CS3218,Multimodal Processing in Mobil
CS3219,Software Engineering Principle
CS3220,Computer Architecture
CS3221,Operatg Sys Desgn & Pragmatics
CS3223,Database Systems Implementatio
CS3226,Web Programming and Applicatio
CS3230,Design & Analysis of Algorithm
CS3231,Theory of Computation
CS3233,Competitive Programming
CS3234,Logic for Proofs and Programs
CS3235,Computer Security
CS3236,Introduction to Information Th
CS3237,Introduction to Internet of Th
CS3238,
CS3240,Interaction Design
CS3241,Computer Graphics
CS3242,3D Modeling and Animation
CS3243,Introduction to Artificial Int
CS3244,Machine Learning
CS3245,Information Retrieval
CS3247,Game Development
CS3249,User Interface Development
CS4211,Formal Methods for Software En
CS4212,Compiler Design
CS4215,Programming Language Implement
CS4218,Software Testing
CS4222,Wireless Networking
