ACC1701X,Accounting for Decision Makers,4
ACC2706,Managerial Accounting,4
AR2102,Design 4,8
AR2221,History and Theory of Southeas,4
AR2222,Hist & Theory Of Western Archi,4
AR2226,Hist & Theory Of Modern Archi,4
AR2327,Architectural Tectonics,4
AR2723,Strat for Sustainable Archi,4
AR3101,Design 5,8
AR3421,Introduction to Architectural,4
AR3721,Building Environmental System,4
AR4101,Design 7,8
AR4103,Architectural & Tech Design 1,8
AR4322,Design Simulation & Analysis,4
AR5011,Research Methodology,4
AR5221,CONTEMPORARY THEORIES,4
AR5321,Advanced Architectural Integra,4
AX2701,Special Exchange Module,4
BSE3703,Econometrics for Business I,4
BSN3701,Technological Innovation,4
BSN3702,New Venture Creation,4
BSN3703,Entrepreneurial Strategy,4
BSN3761X,Topics in Innovation & Entrepr,4
BSP1702,Legal Environment of Business,4
BSP1702X,Legal Environment of Business,4
BSP1703,Managerial Economics,4
BSP1703X,Managerial Economics,4
BSP2701,Global Economy,2
BSP3701,Strategic Management,4
BT1101,Introduction to Business Analy,4
BT2102,Data Management and Visualisat,4
BT3102,Computational Methods for Busi,4
BT3103,Application Systems Developmen,4
BT4012,Fraud Analytics,4
BT4013,Analytics for Capital Market T,4
BT4014,Analytics Driven Design of Ada,4
BT4015,Geospatial Analytics,4
BT4016,Risk Analytics for Financial S,4
BT4211,Data-Driven Marketing,4
BT4212,Search Engine Optimization & A,4
BT4221,Big Data Techniques & Technolo,4
BT4222,Mining Web Data for Business I,4
BT4240,Machine Learning for Predictiv,4
CG2271,Real-Time Operating Systems,4
CM1111,Inorganic Chemistry 1,4
CM1121,Organic Chemistry 1,4
CM1417,Fundamentals of Chemistry,4
CM1991,Exchange Enrichment Level 1000,4
CM2101,Physical Chemistry 2,4
CM3201,Principles of Chemical Process,4
CM3212,Transition Metal Chemistry,4
CM3221,Organic Synthesis: The Disconn,4
CM3222,Organic Reaction Mechanisms,4
CM3225,Biomolecules,4
CM3231,Quant Chem&Molecular Thermodyn,4
CM3242,Instrumental Analysis II,4
CM3251,Nanochemistry,4
CM3252,Polymer Chemistry 1,4
CM3253,Materials Chemistry 1,4
CM3261,Environmental Chemistry,4
CM3991,Exchange Enrichment Module,4
CM4211,Adv Coordination Chemistry,4
CM4212,Adv Organometallic Chemistry,4
CM4214,Structural Mtds in Inorg Chem,4
CM4225,Organic Spectroscopy,4
CM4227,Chemical Biology,4
CM4228,Catalysis,4
CM4238,Selected Topics in Physical Ch,4
CM4241,Trace Analysis,4
CM4242,Advanced Analytical Techniques,4
CM4269,Sustainable & Green Chemistry,4
CM4271,MEDICINAL CHEMISTRY,4
CM4274,The Art and Methodology in T.S,4
CM4282,Energy Resources,4
CM4991,Exchange Enrichment Module,4
COS2000,Computational Thinking for Sci,4
CS1010,Programming Methodology,4
CS1010E,Programming Methodology,4
CS1010J,Programming Methodology,4
CS1010S,Programming Methodology,4
CS1231,Discrete Structures,4
CS2030,Programming Methodology II,4
CS2040,Data Structures and Algorithms,4
CS2040C,Data Structures and Algorithms,4
CS2100,Computer Organisation,4
CS2102,Database Systems,4
CS2103,Software Engineering,4
CS2104,Programming Language Concepts,4
CS2105,Intro to Computer Networks,4
CS2106,Intro to Operating Systems,4
CS2107,Introduction to Information Security,4
CS2108,Introduction to Media Computin,4
CS2113,Software Engineering & Object Oriented Programming,4
CS2220,Intro to Computational Biology,4
CS3103,Computer Networks Practice,4
CS3210,Parallel Computing,4
CS3211,Parallel & Concurrent Programg,4
CS3216,Software Product Engineering,4
CS3217,SW Engg on Modern Appln Platfm,4
CS3218,Multimodal Processing in Mobil,4
CS3219,Software Engineering Principle,4
CS3220,Computer Architecture,4
CS3221,Operatg Sys Desgn & Pragmatics,4
CS3223,Database Systems Implementatio,4
CS3226,Web Programming and Applicatio,4
CS3230,Design & Analysis of Algorithm,4
CS3231,Theory of Computation,4
CS3233,Competitive Programming,4
CS3234,Logic for Proofs and Programs,4
CS3235,Computer Security,4
CS3236,Introduction to Information Th,4
CS3237,Introduction to Internet of Th,4
CS3240,Interaction Design,4
CS3241,Computer Graphics,4
CS3242,3D Modeling and Animation,4
CS3243,Introduction to Artificial Int,4
CS3244,Machine Learning,4
CS3245,Information Retrieval,4
CS3247,Game Development,4
CS3249,User Interface Development,4
CS4211,Formal Methods for Software En,4
CS4212,Compiler Design,4
CS4215,Programming Language Implement,4
CS4218,Software Testing,4
CS4222,Wireless Networking,4
CS4223,Multi-core Architectures,4
CS4225,Big Data Systems for Data Scie,4
CS4226,Internet Architecture,4
CS4231,Parallel & Distr Algorithms,4
CS4234,Optimisation Algorithms,4
CS4236,Cryptography Theory & Practice,4
CS4239,Software Security,4
CS4240,Interaction Design for Virtual,4
CS4242,Social Media Computing,4
CS4243,Comp Vision & Pattern Recogntn,4
CS4244,Knowledge Representation and R,4
CS4246,AI Planning and Decision Makin,4
CS4247,Graphics Rendering Techniques,4
CS4248,Natural Language Processing,4
CS4249,Phenomena and Theories of Huma,4
CS4261,Algorithmic Mechanism Design,4
CS4268,Quantum Computing,4
CS4269,Fundamentals of Logic in Compu,4
CS4277,3D Computer Vision,4
CS4278,Intelligent Robots: Algorithms,4
CS4345,General-Purpose Computation on,4
CS4880,Digital Entrepreneurship,4
CS5223,Distributed Systems,4
CS5224,Cloud Computing,4
CS5228,Knowledge Discovery and Data M,4
CS5229,Advanced Computer Networks,4
CS5232,Formal Specification & Design,4
CS5234,Algorithms at Scale,4
CS5239,Computer System Performance An,4
CS5241,Speech Processing,4
CS5242,Neural Networks &Deep Learning,4
CS5250,Advanced Operating Systems,4
CS5272,Embedded Software Design,4
CS5321,Network Security,4
CS5330,Randomized Algorithms,4
CS5339,Theory and Algorithms for Mach,4
CS5340,Uncertainty Modelling in AI,4
CS5343,Advanced Computer Animation,4
CS5346,Information Visualisation,4
DAO1704,Deci Analytics using Spreadsh,4
DAO1704X,Deci Analytics using Spreadsh,4
DAO2702,Programming for Biz Analytics,4
DAO2703,Operations and Technology Management,4
DBA3761X,Topics in Business Analytics,4
DBA3761Y,Topics in Business Analytics,4
DBA3761Z,Topics in Business Analytics,4
DBA3803,Predictive Analytics in Biz,4
DBA4811,Analy. Tools for Consulting,4
DOS3701,Supply Chain Management,4
DOS3703,Service Operations Management,4
DOS3704,Operations Strategy,4
DOS3712,Physical Distribution Mgt,4
DOS3713,Project Management,4
DOS3714,Sustainable Operations Mgt,4
DOS3761X,Topics in Operations & SCM,4
DOS3761Y,Topics in Operations & SCM,4
DOS3761Z,Topics in Operations & SCM,4
DOS4712,Co-ordination and Flexibility,4
DOS4811,Data Visualisation,4
DSA2102,Essential Data Analytics Tools,4
DSA3102,Essential Data Analytics Tool,4
ENV3991,Exchange Enrichment Level 3000,4
EU2741,Department Exchange Module,4
EX1000,Exchange UEM,4
EX1001,Exchange UEM,4
EX1004,Exchange UEM,4
EX1040,Exchange UEM,5
EX1102,Exchange UEM,4
EX1103,Exchange UEM,4
EX1104,Exchange UEM,4
EX2000,Exchange UEM,4
EX2002,Exchange UEM,4
EX2003,Exchange UEM,4
EX2004,Exchange UEM,4
EX2005,Exchange UEM,4
EX2006,Exchange UEM,4
EX2010,Exchange UEM,1
EX2011,Exchange UEM,1
EX2012,Exchange UEM,4
EX2013,Exchange UEM,4
EX2014,Exchange UEM,4
EX2020,Exchange UEM,3
EX2023,Exchange UEM,3
EX2030,Exchange UEM,2
EX2040,Exchange UEM,2
EX2041,Exchange UEM,2
EX2043,Exchange UEM,2
EX2051,Exchange UEM,5
EX2100,Exchange UEM,1
EX2101,Exchange UEM,1
EX3000,Exchange UEM,5
EX3612,Exchange UEM,3
EX3614,Exchange UEM Module,1
EX3618,Exchange UEM,2
EX3619,Exchange UEM,2
EX3881,Exchange ULR Breadth,4
EX3883,Exchange ULR Breadth,4
EX3884,Exchange ULR Breadth,2
EX3885,Exchange UEM,4
EX3886,Exchange UEM,4
EX4042,Exchange UEM,4
EX4043,Exchange UEM,4
EX4044,Exchange UEM,4
EX4045,Exchange UEM,3
EX4048,Exchange UEM,2
EX4049,Exchange UEM,2
EX4873,Exchange UEM,4
EX4874,Unrestricted Elective Outside,4
EX4875,Unrestricted Elective Outside,4
EX4876,Exchange UEM,4
EX4878,Exchange UEM,4
EX4883,Exchange UEM 4,4
EX4884,Exchange UEM 5,4
EX4885,Exchange UEM 6,2
EX4888,Exchange UEM,1
EX4889,Exchange UEM,6
EX4890,UEM Exchange Module,5
EX4892,Exchange UEM,3
EX4893,Exchange UEM,5
FIN2704,Finance,4
FIN2704X,Finance,4
FIN3701,Corporate Finance,4
FIN3702,Inv. Analysis & Portfolio Mgt,4
FIN3703,Financial Markets,4
FIN3711,International Financial Mgt,4
FIN3712,Options and Futures,4
FIN3713,Bank Management,4
FIN3714,Financial Risk Management,4
FIN3715,Risk and Insurance,4
FIN3716,Financial Modelling,4
FIN3717,Fixed Income Securities,4
FIN3719,Household Finance,4
FIN3720,Financial Statement Analysis,4
FIN3761B,TIF: China�s Capital Markets,4
FIN3761X,Topics in Finance,4
FIN3761Y,Topics in Finance,4
FIN3761Z,Topics in Finance,4
FIN4713,Adv Portfo Mgt: Sec. Ana.&Valn,4
FIN4717,Entrepreneurial Finance,4
FIN4718,FinTech Management,4
FST1991,Exchange Enrichment Level 1000,4
FST2201,Intro to Human Nutrition,4
FST2991,Exchange Enrichment Module,4
FST3101,Food Enzymology & Fermentation,4
FST3103,Advanced Food Engineering,4
FST3105,Food Product Development and P,4
FST3106,Sensory and Flavour Science,4
FST3202,Nutrition & Disease Prevention,4
FST3991,Exchange Enrichment Module,4
FST4201,Current Topics (Food Sci&Tech),4
GL2102,Global Political Economy,4
GL3101,Inquiry and Method,4
GL3741,Department exchange module,4
GL3742,Department exchange module,4
GL3745,Department exchange module,4
GL4882A,Development and the Globalisat,5
GL4885A,International Law and World Po,5
GL4886,Topics in Population and Migra,5
GL4889,Topics in War and Security,5
HY2711,Department Exchange Module,4
IE2100,Probability Models With Applns,4
IE2110,Operations Research I,4
IE2130,Quality Engineering I,4
IE2140,Engineering Economy,4
IE3004,Department Exchange Module,4
IE3014,Department Exchange Module,4
IE3015,Exchange Elective,4
IE3101,Statistics For Engineering App,4
IE3105,Fundamentals of Systems Engine,4
IE3110,Simulation,5
IE3110R,Simulation,4
IE3112,Department Exchange Module,2
IE3114,Department Exchange Module,4
IE3120,Manufacturing Logistics,4
IE3250,Human Factors Engineering,4
IE3704,Exchange Elective,4
IE3714,Exchange Elective,4
IE3911,IE3 Technical Elective,2
IE3991,IE3 Technical Elective,3
IE3993,IE3 Technical Elective,4
IE3998,IE3 Technical Elective,4
IE3999,IE3 Technical Elective,4
IE4002,Department Exchange Module,2
IE4003,Department Exchange Module,3
IE4004,Department Exchange Module,4
IE4005,Department Exchange Module,5
IE4006,Department Exchange Module,6
IE4010,Exchange Elective,2
IE4012,Department Exchange Module,2
IE4013,Department Exchange Module,3
IE4014,Department Exchange Module,4
IE4015,Department Exchange Module,5
IE4017,Department Exchange Module,7
IE4044,Exchange Elective,4
IE4054,Exchange Elective,4
IE4055,Exchange Elective,4
IE4056,Exchange Elective,4
IE4063,Exchange Elective,3
IE4064,Exchange Elective,4
IE4065,Exchange Elective,3
IE4066,Exchange Elective,3
IE4067,Exchange Elective,3
IE4068,Exchange Elective,3
IE4111,Department Exchange Module,1
IE4112,Department Exchange Module,2
IE4113,Department Exchange Module,3
IE4114,Department Exchange Module,4
IE4115,Department Exchange Module,5
IE4121,Department Exchange Module,1
IE4122,Department Exchange Module,2
IE4123,Department Exchange Module,3
IE4124,Department Exchange Module,4
IE4131,Exchange Elective,3
IE4210,Operations Research II,4
IE4211,Modelling & Analytics,4
IE4220,Supply Chain Modelling,4
IE4221,Transportation Demand Modeling,4
IE4240,Project Management,4
IE4241,"Work,Technology & Organization",4
IE4242,Cost Analysis And Management,4
IE4243,Decision Modeling & Risk Analy,4
IE4502,Exchange Elective,2
IE4503,Exchange Elective,3
IE4504,Exchange Elective,4
IE4505,Exchange Elective,4
IE4506,Exchange Elective,4
IE4512,Exchange Elective,2
IE4513,Exchange Elective,2
IE4514,Exchange Elective,2
IE4515,Exchange Elective,5
IE4516,Exchange Elective,5
IE4517,Exchange Elective,5
IE4518,Exchange Elective,5
IE4603,Exchange Elective,3
IE4604,Exchange Elective,4
IE4606,Exchange Elective,3
IE4607,Exchange Elective,3
IE4608,Exchange Elective,5
IE4702,Exchange Elective,2
IE4703,Exchange Elective,3
IE4704,Exchange Elective,4
IE4711,Exchange Elective,5
IE4714,Exchange Elective,4
IE4731,Exchange Elective,3
IE4732,Exchange Elective,3
IE4733,Exchange Elective,3
IE4734,Exchange Elective,3
IE4735,Exchange Elective,3
IE4879,Technical Elective,3
IE4880,Technical Elective,3
IE4881,Exchange Elective,4
IE4882,Technical Elective,3
IE4885,Exchange Elective,2
IE4887,Exchange Elective,3
IE4888,Exchange Elective,3
IE4892,Exchange Elective,2
IE4912,Exchange Technical Elective,2
IE4913,Exchange Technical Elective,3
IE4916,Exchange Elective,3
IE4984,Exchange Elective,4
IE4985,Exchange Elective,4
IE4986,Exchange Elective,3
IE4987,Exchange Elective,3
IE4988,Exchange Elective,3
IE4990,Exchange Elective 10,3
IE4991,Exchange Elective 1,4
IE4992,Exchange Elective 2,4
IE4993,Exchange Elective 3,4
IE4994,Exchange Elective,4
IE4995,Exchange Elective 5,4
IE4998,Exchange Elective 8,5
IFS4101,Legal Aspects of Information S,4
IFS4102,Digital Forensics,4
IFS4103,Penetration Testing Practice,4
IS1103,Ethics in Computing,4
IS2102,Enterprise Systems Architectur,4
IS3101,Management of Information Syst,4
IS3103,Information Systems Leadership,4
IS3106,Enterprise Systems Interface D,4
IS3150,Digital Media Marketing,4
IS3221,ERP Systems with Analytics Sol,4
IS3223,IT and Supply Chain Management,4
IS3240,Digital Platform Strategy and,4
IS3251,Principles of Technology Entre,4
IS3261,Mobile Apps Development for En,4
IS4100,IT Project Management,4
IS4151,Pervasive Technology Solutions,4
IS4204,IT Governance,4
IS4228,Information Technologies in Fi,4
IS4231,Information Security Mgmt,4
IS4233,Legal Aspects of Information T,4
IS4234,Compliance and Regulation Tech,4
IS4240,Business Intelligence Systems,4
IS4241,Social Media Network Analysis,4
IS4242,Intelligent Systems and Techni,4
IS4243,Information Systems Consulting,4
IS4250,IT-enabled Healthcare Solution,4
IS4260,E-Commerce Business Models,4
IS4261,Designing IT-enabled Business,4
IS4302,Blockchain and Distributed Led,4
IS4303,IT-mediated financial solution,4
IT1001,Introduction to Computing,4
IT3010,Data Management for Business,4
IT3011,Introduction to Machine Learn,4
LAC1721,Department Exchange Module,2
LAC1731,Department exchange module,3
LAC3731,Department Exchange Module,3
LAF1201,French 1,4
LAF2201,French 2,4
LAG1201,German 1,4
LAG2201,German 2,4
LAG3201,German 3,4
LAK1201,Korean 1,4
LSM1301,General Biology,4
LSM1303,Animal Behaviour,4
LSM1401,Fundamentals of Biochemistry,4
LSM1991,Exchange Enrichment Module,4
LSM1992,Exchange Enrichment Module,4
LSM1996,Exchange Enrichment Level 1000,2
LSM2191,Laboratory Techniques in Life,4
LSM2212,Human Anatomy,4
LSM2231,General Physiology,4
LSM2232,"Genes, Genomes and Biomedical",4
LSM2233,Cell Biology,4
LSM2241,Introductory Bioinformatics,4
LSM2251,Ecology and Environment,4
LSM2252,Biodiversity,4
LSM2253,Applied Data Analysis in Ecolo,4
LSM2254,Fundamentals of Plant Biology,4
LSM2291,Fundamental Techniques in Micr,4
LSM2991,Exchange Enrichment Level 2000,4
LSM2992,Exchange Enrichment Module,4
LSM2996,Exchange Enrichment Level 2000,2
LSM3201,Research and Communication in,4
LSM3211,Fundamental Pharmacology,4
LSM3212,Human Physio:Cardiopulmon Syst,4
LSM3214,Human Physio-Hormones & Hlth,4
LSM3215,Neuronal Signaling and Memory,4
LSM3216,Neuronal Development and Disea,4
LSM3217,Human Ageing,4
LSM3218,Cardiopulmonary Pharmacology,4
LSM3219,Neuropharmacology,4
LSM3222,Human Neuroanatomy,4
LSM3223,Immunology,4
LSM3224,Molecular Basis Human Diseases,4
LSM3225,Molecular Microbiology in HD,4
LSM3231,Protein Structure and Function,4
LSM3232,Microbiology,4
LSM3233,Developmental Biology,4
LSM3234,Biological Imaging of Growth a,4
LSM3241,Genomic Data Analysis,4
LSM3242,Translational Microbiology,4
LSM3243,Molecular Biophysics,4
LSM3244,Molecular Biotechnology,4
LSM3245,RNA Biology and Technology,4
LSM3246,Synthetic Biology,4
LSM3252,Evolutn & Comparative Genomics,4
LSM3254,Ecology of Aquatic Environment,4
LSM3255,Ecology of Terrestrial Env,4
LSM3256,Tropical Horticulture,4
LSM3258,Comparative Botany,4
LSM3259,Fungal Biology,4
LSM3262,Comparative Animal Physiology,4
LSM3264,Environmental Biochemistry,4
LSM3265,Entomology,4
LSM3266,Avian Biology and Evolution,4
LSM3267,Behavioural Biology,4
LSM3272,Global Change Biology,4
LSM3991,Exchange Enrichment Module,4
LSM3992,Exchange Enrichment Module,4
LSM3993,Exchange Enrichment Module,4
LSM3994,Exchange Enrichment Level 3000,2
LSM4210,Topics in Biomedical Science,4
LSM4211,Toxicology,4
LSM4214,Cancer Pharmacology,4
LSM4221,Drug Discovery&Clinical Trials,4
LSM4222,Advanced Immunology,4
LSM4223,Advances in Antimicrobial Stra,4
LSM4227,Stem Cell Biology,4
LSM4229,Therapeutic and diagnostic age,4
LSM4231,Structural Biology,4
LSM4232,Advanced Cell Biology,4
LSM4234,Mechanobiology,4
LSM4235,Nuclear Mechanics and Genome R,4
LSM4241,Functional Genomics,4
LSM4243,Tumour Biology,4
LSM4244,Oncogenes & Signal Transductn,4
LSM4245,Advanced Epigenetics and Chrom,4
LSM4252,Reproductive Biology,4
LSM4254,Principles of Taxonomy & Sys,4
LSM4255,Methods in Mathematical Biolog,4
LSM4256,Evolution of Development,4
LSM4257,Aquatic Vertebrate Diversity,4
LSM4259,Evolutionary Genetics of Repro,4
LSM4261,Marine Biology,4
LSM4262,Tropical Conservation Biology,4
LSM4264,Freshwater Biology,4
LSM4265,Urban Ecology,4
LSM4267,Light & Vision in Animal Commu,4
MA1100,Basic Discrete Mathematics,4
MA1521,Calculus for Computing,4
MA1991,Exchange Enrichment Level 1000,4
MA1994,Exchange Enrichment Level 1000,2
MA2101,Linear Algebra II,4
MA2104,Multivariable Calculus,4
MA2108,Mathematical Analysis I,4
MA2202,Algebra I,4
MA2213,Numerical Analysis I,4
MA2214,Combinatorics and Graphs I,4
MA2216,Probability,4
MA2219,Introduction to Geometry,4
MA2311,Techniques In Adv Calculus,4
MA2312,Intro to Differential Equation,4
MA2991,Exchange Enrichment Module,4
MA2993,Exchange Enrichment Module,4
MA3111,Complex Analysis I,4
MA3201,Algebra II,4
MA3218,Applied Algebra,4
MA3220,Ordinary Differential Equation,4
MA3227,Numerical Analysis II,4
MA3233,Combinatorics and Graphs II,4
MA3236,Non-Linear Programming,4
MA3238,Stochastic Processes I,4
MA3252,Linear & Network Optimisation,4
MA3259,Math'Cal Methods In Genomics,4
MA3264,Mathematical Modelling,4
MA3265,Introduction to Number Theory,4
MA3269,Mathematical Finance I,4
MA4201,Commutative Algebra,4
MA4211,Functional Analysis,4
MA4221,Partial Differential Equation,4
MA4229,Fourier Analysis and Approxima,4
MA4230,Matrix Computation,4
MA4233,Dynamical Systems,4
MA4235,Topics in Graph Theory,4
MA4247,Complex Analysis II,4
MA4254,Discrete Optimization,4
MA4255,Numerical Methods in Diff Eq.,4
MA4260,Stochastic Operations Research,4
MA4262,Measure and Integration,4
MA4264,Game Theory,4
MA4266,Topology,4
MA4268,Mathematics for Visual Data Pr,4
MA4269,Mathematical Finance II,4
MA4270,Data Modelling and Computation,4
MA4271,Differential Geometry of Curve,4
MA4272,Mathematical Tools for Data Sc,4
MA4291,Undergrad Topics in Maths I,4
MA4991,Exchange Enrichment Module,4
MA4992,Exchange Enrichment Module,4
ME2112,Strength of Materials,4
ME2121,Engineering Thermodynamics and,4
ME2134,Fluid Mechanics I,4
ME2135,Intermediate Fluid Mechanics,4
ME2142,Feedback Control Systems,4
ME3102,Mechanical Systems Design II,4
ME3103,Mechanical Systems Design,6
ME3122,Heat Transfer,4
ME3221,Sustainable EnergyConversion,4
ME3242,Automation,4
ME3661,Technical Elective,4
ME3662,Technical Elective,4
ME3663,Exchange Technical Elective,4
ME4212,Aircraft Structures,4
ME4223,Thermal Environmental Engrg,4
ME4225,Applied Heat Transfer,4
ME4227,Internal Combustion Engines,4
ME4231,Aerodynamics,4
ME4253,Biomaterials Engineering,4
ME4255,Materials Failure,4
ME4262,Automation In Manufacturing,4
ME4263,Fundamentals of Product Develo,4
ME4291,Finite Element Analysis,4
ME4661,Exchange Elective,4
ME4662,Exchange Technical Elective,4
ME4663,Exchange Technical Elective,4
ME5304,Experimental Fluid Mechanics,4
MKT1705,Principles of Marketing,4
MKT1705X,Principles of Marketing,4
MKT3701,Marketing Strategy: Analysis a,4
MKT3702,Consumer Behaviour,4
MKT3711,Services Marketing,4
MKT3714,Digital Marketing,4
MKT3715,Business-to-Business Mkting,4
MKT3716,Customer Relationship Mgt,4
MKT3717,Product & Brand Management,4
MKT3718,Advertising & Promotion Mgt,4
MKT3719,Branding Strategy,4
MKT3720,Retail Marketing,4
MKT3722,Research for Marketing Insight,4
MKT3761X,Topics in Marketing,4
MKT3761Y,Topics in Marketing,4
MKT3761Z,Topics in Marketing,4
MKT3811,Mkting Analysis & Deci Making,4
MKT3812,Game Theory & Strat. Analysis,4
MKT4714,Consumer Decision Making,4
MKT4761C,SIM: Media Strategy for a Digi,4
MKT4811,Pricing Strategy,4
MNO1706,Organisational Behavior,4
MNO1706X,Organisational Behavior,4
MNO3701,Human Capital Management,4
MNO3702,Negotiation and Conflict Mgt,4
MNO3703,Leading in the 21st Century,4
MNO3712,Training and Development,4
MNO3716,Principles of Global Managemen,6
MNO3761X,Topics in L&HCM,4
MNO3761Y,Topics in L&HCM,4
MNO3761Z,Topics in L&HCM,4
MNO4761A,SILHCM:Compensation & Perf Mgt,4
MT2001,Experiencing Engineering Leade,4
MT3001,Systems Thinking & Engineering,4
MT4001,Innovation and Entrepreneurial,4
MT4002,Technology Management Strategy,4
MT4003,Engineering Product Developmnt,4
MT5001,IP Management,4
MT5006,Strategic & New Pdt Dev,4
MT5007,MANAGEMENT OF TECHNOLOGICAL IN,4
MT5911,Venture Funding,4
PC1141,Introduction to Classical Mech,4
PC1142,Introduction to Thermodynamics,4
PC1143,Introduction to Electricity &,4
PC1144,Introduction to Modern Physics,4
PC1221,Fundamentals of Physics I,4
PC1222,Fundamentals of Physics II,4
PC1322,Understanding the Universe,4
PC1326,Physics in the Life Sciences,4
PC1431,Physics IE,4
PC1432,Physics IIE,4
PC1991,Exchange Enrichment Level 1000,4
PC2020,Electromagnetics for Electrica,4
PC2130,Quantum Mechanics I,4
PC2130B,Applied Quantum Physics,4
PC2132,Classical Mechanics,4
PC2133,Applied Solid State Physics,4
PC2230,Thermodynamics & Stat'cal Mech,4
PC2267,Biophysics I,4
PC2991,Exchange Enrichment Module,4
PC3130,Quantum Mechanics II,4
PC3193,Experimental Physics II,4
PC3231,Electricity & Magnetism II,4
PC3232,Nuclear & Particle Physics,4
PC3233,Atomic & Molecular Physics I,4
PC3235,Solid State Physics I,4
PC3236,Computational Mtds In Physics,4
PC3240,"Atmosphere, Ocean and Climate",4
PC3241,Solid State Devices,4
PC3243,Photonics,4
PC3246,Astrophysics I,4
PC3247,Modern Optics,4
PC3251,Nanophysics,4
PC3274,Math'cal Mtds In Physics II,4
PC3991,Exchange Enrichment Module,4
PC4228,Device Physics for Quantum Tec,4
PC4241,Statistical Mechanics,4
PC4245,Particle Physics,4
PC4246,Quantum Optics,4
PC4248,General Relativity,4
PC4249,Astrophysics II,4
PC4253,Thin Film Technology,4
PC4259,Surface Physics,4
PC4264,Advanced Solid State Devices,4
PC4268,Biophy Instru &Biomo'lar Elec,4
PC4991,Exchange Enrichment Module,4
PF2203,Quality and Productivity Mgmt,4
PF2504,Materials Technology,4
PF3201,Measurement (Specialist Works),4
PF3301,Maintainability of Facilities,4
PF3305,Facilities Planning and Desig,4
PF4202,"Safety, Health and Environment",4
PF4206,Building Information Modelling,4
PF4305,Green Development,4
PR1991,Exchange Enrichment Level 1000,4
PR2115,Medicinal Chemistry for Drug D,4
PR2991,Exchange Enrichment Module,4
